list_nr,id_bioguide,id_thomas,id_lis,id_govtrack,id_opensecrets,id_votesmart,id_fec,id_cspan,id_wikipedia,id_house_history,id_ballotpedia,id_maplight,id_icpsr,id_wikidata,id_google_entity_id,id_pictorial,name_first,name_last,name_official_full,bio_birthday,bio_gender,term_type,term_start,term_end,term_state,term_district,term_party,term_class,term_url,term_address,term_phone,term_fax,term_contact_form,term_office,term_state_rank,term_rss_url,name_middle,name_nickname,term_caucus,term_how,name_suffix,term_end-type,term_party_affiliations,id_bioguide_previous,id_house_history_alternate
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,rep,1993-01-05,1995-01-03,WA,1,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2001-01-03,2007-01-03,WA,NA,Democrat,1,http://cantwell.senate.gov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2007-01-04,2013-01-03,WA,NA,Democrat,1,http://cantwell.senate.gov,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/contact/,311 Hart Senate Office Building,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2013-01-03,2019-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,,NA,NA
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2019-01-03,2025-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,NA,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,,NA,NA
1,C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2025-01-03,2031-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,NA,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,,NA,NA
2,K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2007-01-04,2013-01-03,MN,NA,Democrat,1,http://klobuchar.senate.gov/,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/emailamy.cfm,302 Hart Senate Office Building,NA,NA,Jean,NA,NA,NA,NA,NA,,NA,NA
2,K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2013-01-03,2019-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/public/index.cfm/contact,302 Hart Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,,NA,NA
2,K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2019-01-03,2025-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,NA,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,,NA,NA
2,K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2025-01-03,2031-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,NA,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,1991-01-03,1993-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,1993-01-05,1995-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,1995-01-04,1997-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,1997-01-07,1999-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,1999-01-06,2001-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,2001-01-03,2003-01-03,VT,0,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,2003-01-07,2005-01-03,VT,0,Independent,NA,http://bernie.house.gov,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,rep,2005-01-04,2007-01-03,VT,0,Independent,NA,http://bernie.house.gov,NA,NA,NA,NA,NA,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,sen,2007-01-04,2013-01-03,VT,NA,Independent,1,http://sanders.senate.gov/,332 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-5141,202-228-0776,http://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,NA,NA,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,sen,2013-01-03,2019-01-03,VT,NA,Independent,1,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,202-228-0776,http://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,junior,http://www.sanders.senate.gov/rss/,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,sen,2019-01-03,2025-01-03,VT,NA,Independent,1,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,NA,https://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,senior,http://www.sanders.senate.gov/rss/,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
3,S000033,01010,S313,400357,N00000528,27110,H8VT01016,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,13382,Bernard,Sanders,Bernard Sanders,1941-09-08,M,sen,2025-01-03,2031-01-03,VT,NA,Independent,1,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,NA,https://www.sanders.senate.gov/contact/,332 Dirksen Senate Office Building,senior,http://www.sanders.senate.gov/rss/,NA,Bernie,Democrat,NA,NA,NA,,NA,NA
4,W000802,01823,S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,NA,Sheldon Whitehouse,728,40704,Q652066,kg:/m/07qw94,13372,Sheldon,Whitehouse,Sheldon Whitehouse,1955-10-20,M,sen,2007-01-04,2013-01-03,RI,NA,Democrat,1,http://whitehouse.senate.gov/,717 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2921,202-228-6362,http://www.whitehouse.senate.gov/contact/,717 Hart Senate Office Building,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
