id_bioguide,id_thomas,id_lis,id_govtrack,id_opensecrets,id_votesmart,id_fec,id_cspan,id_wikipedia,id_house_history,id_ballotpedia,id_maplight,id_icpsr,id_wikidata,id_google_entity_id,id_pictorial,name_first,name_last,name_official_full,bio_birthday,bio_gender,term_type,term_start,term_end,term_state,term_district,term_party,term_class,term_url,term_address,term_phone,term_fax,term_contact_form,term_office,term_state_rank,term_rss_url,name_middle,name_nickname,term_caucus,term_how,name_suffix,term_end-type,term_party_affiliations
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,rep,1993-01-05,1995-01-03,WA,1,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2001-01-03,2007-01-03,WA,NA,Democrat,1,http://cantwell.senate.gov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2007-01-04,2013-01-03,WA,NA,Democrat,1,http://cantwell.senate.gov,311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/contact/,311 Hart Senate Office Building,NA,NA,NA,NA,NA,NA,NA,NA,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2013-01-03,2019-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,202-228-0514,http://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2019-01-03,2025-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,NA,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,
C000127,00172,S275,300018,N00007836,27122,S8WA00194,26137,Maria Cantwell,10608,Maria Cantwell,544,39310,Q22250,kg:/m/01x68t,13398,Maria,Cantwell,Maria Cantwell,1958-10-13,F,sen,2025-01-03,2031-01-03,WA,NA,Democrat,1,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,NA,https://www.cantwell.senate.gov/public/index.cfm/email-maria,511 Hart Senate Office Building,junior,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,NA,NA,NA,NA,NA,NA,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2007-01-04,2013-01-03,MN,NA,Democrat,1,http://klobuchar.senate.gov/,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/emailamy.cfm,302 Hart Senate Office Building,NA,NA,Jean,NA,NA,NA,NA,NA,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2013-01-03,2019-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/public/index.cfm/contact,302 Hart Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2019-01-03,2025-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,NA,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,
K000367,01826,S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,13431,Amy,Klobuchar,Amy Klobuchar,1960-05-25,F,sen,2025-01-03,2031-01-03,MN,NA,Democrat,1,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,NA,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,senior,NA,Jean,NA,NA,NA,NA,NA,
