outcome,spec,event_time,att,ci_low,ci_high
SD of slant,Full sample,-6,0.012548622682950511,-0.019802412277149177,0.0448996576430502
SD of slant,Full sample,-5,0.04343008103428723,0.014739487476069603,0.07212067459250485
SD of slant,Full sample,-4,0.040307401128527015,0.0032752198665921897,0.07733958239046185
SD of slant,Full sample,-3,0.0226268015701728,-4.0456482319610465e-4,0.045658167963541704
SD of slant,Full sample,-2,0.010413991302691047,-0.02140946652340955,0.04223744912879164
SD of slant,Full sample,0,0.031048835345711706,-0.022344678196212817,0.08444234888763623
SD of slant,Full sample,1,0.047801781003632166,0.014976957967872073,0.08062660403939226
SD of slant,Full sample,2,0.020451667413195717,-0.003709355752158576,0.04461269057855001
SD of slant,Full sample,3,0.03468826328187893,0.001350604944263964,0.06802592161949389
SD of slant,Full sample,4,0.030785658845201815,-0.007386376928706941,0.06895769461911057
SD of slant,Full sample,5,0.026299980565163764,-1.5015336456283487e-4,0.052750114494890366
SD of slant,Full sample,6,0.04112368708171552,-0.008360403697586949,0.090607777861018
SD of slant,Full + outlet FE,-6,0.012245690020060889,-0.019798551501043316,0.04428993154116509
SD of slant,Full + outlet FE,-5,0.04255704439410742,0.013730986135337488,0.07138310265287735
SD of slant,Full + outlet FE,-4,0.039358542497008944,0.002138447681037381,0.07657863731298051
SD of slant,Full + outlet FE,-3,0.02184460035756234,-0.0012118938345975702,0.04490109454972225
SD of slant,Full + outlet FE,-2,0.009676042077870673,-0.022602153034716868,0.04195423719045821
SD of slant,Full + outlet FE,0,0.03599407954633181,-0.00900335860334004,0.08099151769600366
SD of slant,Full + outlet FE,1,0.04723403603219071,0.013314700428628666,0.08115337163575276
SD of slant,Full + outlet FE,2,0.019487140340013313,-0.0053973671240661845,0.044371647804092806
SD of slant,Full + outlet FE,3,0.03415179840564137,-4.3453049285938766e-4,0.06873812730414214
SD of slant,Full + outlet FE,4,0.029759584761426476,-0.010344464107378437,0.06986363363023139
SD of slant,Full + outlet FE,5,0.02507618004925699,-0.0023811175859600117,0.05253347768447399
SD of slant,Full + outlet FE,6,0.03976894181187534,-0.0121918822452666,0.09172976586901728
SD of slant,Post-1970 + outlet FE,-6,0.010383954485677886,-0.02175617257346036,0.042524081544816135
SD of slant,Post-1970 + outlet FE,-5,0.04141755721822063,0.012468570512080841,0.07036654392436043
SD of slant,Post-1970 + outlet FE,-4,0.03866447286621194,0.001278895206926818,0.07605005052549707
SD of slant,Post-1970 + outlet FE,-3,0.021131029212835085,-0.002017792337385492,0.04427985076305566
SD of slant,Post-1970 + outlet FE,-2,0.008061924357093018,-0.02428488934924425,0.04040873806343029
SD of slant,Post-1970 + outlet FE,0,0.03588476169673027,-0.00930930343913585,0.0810788268325964
SD of slant,Post-1970 + outlet FE,1,0.0463890341275351,0.012338581484277363,0.08043948677079285
SD of slant,Post-1970 + outlet FE,2,0.019024441786853034,-0.005946633109116514,0.04399551668282258
SD of slant,Post-1970 + outlet FE,3,0.029786401171281854,-0.004663193238240132,0.06423599558080384
SD of slant,Post-1970 + outlet FE,4,0.028591049751686762,-0.011679111842033726,0.06886121134540725
SD of slant,Post-1970 + outlet FE,5,0.023537303539107744,-0.004020329739884275,0.05109493681809976
SD of slant,Post-1970 + outlet FE,6,0.03980447188654274,-0.012455674036908199,0.09206461780999368
SD of slant,Post-1990,-6,0.007569449226911564,-0.027538716749061103,0.04267761520288423
SD of slant,Post-1990,-5,0.04562035970101541,0.01430843207545894,0.07693228732657188
SD of slant,Post-1990,-4,0.0432633974912265,0.0016833485518808824,0.08484344643057212
SD of slant,Post-1990,-3,0.025430937211407115,0.0027081383206785936,0.048153736102135636
SD of slant,Post-1990,-2,0.006978526050602711,-0.02868534537328935,0.04264239747449477
SD of slant,Post-1990,1,0.053562170647379434,0.01908219886210321,0.08804214243265565
SD of slant,Post-1990,2,0.026950489403191967,0.0029390387606987416,0.05096194004568519
SD of slant,Post-1990,3,0.0340999009678498,-0.0011427689516832762,0.06934257088738288
SD of slant,Post-1990,4,0.03658283255514627,-0.006282330872330148,0.0794479959826227
SD of slant,Post-1990,5,0.02995620373600028,0.0014408248156426058,0.05847158265635795
SD of slant,Post-1990,6,0.044212348809205236,-0.011436219749742835,0.0998609173681533
SD of slant,Post-1990 + outlet FE,-6,0.007826215195561636,-0.027128503904533807,0.042780934295657075
SD of slant,Post-1990 + outlet FE,-5,0.04563552564074151,0.01435670689868064,0.07691434438280238
SD of slant,Post-1990 + outlet FE,-4,0.0432301921665076,0.0016409507844648494,0.08481943354855034
SD of slant,Post-1990 + outlet FE,-3,0.025472405103357455,0.0027062681151232386,0.048238542091591674
SD of slant,Post-1990 + outlet FE,-2,0.006889742612596686,-0.028747250004562373,0.042526735229755745
SD of slant,Post-1990 + outlet FE,0,-2.199056394640193,-8235.790426374522,8231.392313585242
SD of slant,Post-1990 + outlet FE,1,0.05326702161059079,0.018319685392653155,0.08821435782852843
SD of slant,Post-1990 + outlet FE,2,0.02651365353469627,0.0023408190527553357,0.05068648801663721
SD of slant,Post-1990 + outlet FE,3,0.0338825770071462,-0.0018784610997275783,0.06964361511401998
SD of slant,Post-1990 + outlet FE,4,0.03635786672531143,-0.007161933938090302,0.07987766738871316
SD of slant,Post-1990 + outlet FE,5,0.029672003101611912,9.267889525004201e-4,0.05841721725072341
SD of slant,Post-1990 + outlet FE,6,0.043902555181867496,-0.012543912236219527,0.10034902259995451
Entropy,Full sample,-6,0.025998829935506812,-0.06176533879813875,0.11376299866915238
Entropy,Full sample,-5,0.10492346602236305,0.028895361061180597,0.1809515709835455
