outcome,group,event_time,att,ci_low,ci_high
n_articles,pooled,-12,-12.539953484811134,-26.014297450127533,0.9343904805052645
n_articles,pooled,-11,-11.623950498250641,-25.10344759460903,1.855546598107745
n_articles,pooled,-10,-13.88033134455311,-28.877564109772884,1.1169014206666645
n_articles,pooled,-9,-15.732791790617746,-32.09867022681172,0.6330866455762241
n_articles,pooled,-8,-16.163435903091564,-33.38374873612057,1.0568769299374452
n_articles,pooled,-7,-12.31394165277573,-25.918437571482542,1.2905542659310836
n_articles,pooled,-6,-11.191536417397216,-23.55837239708196,1.1752995622875293
n_articles,pooled,-5,-12.224972535234132,-24.496045625556278,0.046100555088013806
n_articles,pooled,-4,-12.781265454195196,-25.324546019472372,-0.23798488891801917
n_articles,pooled,3,-8.73143010232103,-21.46620366361516,4.003343458973102
n_articles,pooled,4,-11.0353690557487,-23.987458718298303,1.9167206068009044
n_articles,pooled,5,-12.161566623716157,-25.207424988432166,0.884291740999851
n_articles,pooled,6,-10.730076897881723,-23.85107204188673,2.3909182461232827
n_articles,pooled,7,-9.580781007789088,-22.25070162328266,3.0891396077044835
n_articles,pooled,8,-11.634062080744322,-25.16598252528337,1.897858363794727
n_articles,pooled,9,-10.743262190020916,-24.040121947720557,2.5535975676787253
n_articles,pooled,10,-10.563636337971028,-24.03331681076478,2.906044134822725
n_articles,pooled,11,-10.44799363170276,-23.326401568541325,2.4304143051358054
n_articles,pooled,12,-12.549296611632185,-25.515286712900096,0.41669348963572617
n_articles,post_1970,-12,-31.453959886428677,-64.54449209209537,1.636572319238013
n_articles,post_1970,-11,-28.610133452874884,-61.83887118682167,4.618604281071903
n_articles,post_1970,-10,-34.950663006296296,-71.74497666312423,1.843650650531643
n_articles,post_1970,-9,-39.65867687997276,-79.69575716564185,0.378403405696325
n_articles,post_1970,-8,-41.18622571949046,-83.00223893921833,0.6297875002374127
n_articles,post_1970,-7,-31.29715313589805,-64.51194559520997,1.9176393234138587
n_articles,post_1970,-6,-28.47059058650006,-58.88979284085703,1.9486116678569125
n_articles,post_1970,-5,-30.717680814298532,-60.92378445265722,-0.5115771759398413
n_articles,post_1970,-4,-32.370647242460095,-63.30139624133667,-1.4398982435835208
n_articles,post_1970,3,-21.448071703315442,-52.738592673342225,9.842449266711341
n_articles,post_1970,4,-27.40976126497673,-59.31053325198922,4.49101072203576
n_articles,post_1970,5,-30.443045909133605,-62.6194358119681,1.7333439937008954
n_articles,post_1970,6,-26.648951991597198,-59.37433560408549,6.076431620891089
n_articles,post_1970,7,-23.599311047873403,-55.3785793553801,8.17995725963329
n_articles,post_1970,8,-29.499082464644747,-63.057020147691404,4.058855218401913
n_articles,post_1970,9,-27.091302510932735,-60.35127176057653,6.16866673871106
n_articles,post_1970,10,-26.044177734360026,-59.625532263371994,7.537176794651941
n_articles,post_1970,11,-25.831460891472528,-58.0052318661229,6.342310083177839
n_articles,post_1970,12,-30.621758902723517,-62.91641039017223,1.6728925847252007
n_articles,optimal_true,-12,-13.289151918111934,-31.71633732156046,5.138033485336592
n_articles,optimal_true,-11,-12.920252835543092,-31.177894654994464,5.33738898390828
n_articles,optimal_true,-10,-12.489120568096853,-32.1687121750817,7.190471038887997
n_articles,optimal_true,-9,-13.689941184942569,-34.955907360262515,7.576024990377377
n_articles,optimal_true,-8,-17.28610304293619,-41.615499853177965,7.043293767305581
n_articles,optimal_true,-7,-12.187067521882273,-30.576011986686144,6.201876942921597
n_articles,optimal_true,-6,-12.93251512325564,-30.115026221420038,4.249995974908757
n_articles,optimal_true,-5,-13.39702422969182,-29.56812523465563,2.7740767752719897
n_articles,optimal_true,-4,-13.318792859500522,-29.738246936384698,3.100661217383653
n_articles,optimal_true,3,-14.054695008159516,-32.53449975529497,4.425109738975944
n_articles,optimal_true,4,-16.899348627989394,-35.556870420029014,1.7581731640502305
n_articles,optimal_true,5,-17.99758260016406,-37.304594001867464,1.3094288015393474
n_articles,optimal_true,6,-17.0848483040401,-36.31344220980404,2.143745601723836
n_articles,optimal_true,7,-14.710237883075203,-33.21439615639042,3.7939203902400127
n_articles,optimal_true,8,-17.868429223805546,-37.48672443079691,1.7498659831858205
n_articles,optimal_true,9,-16.922124981973433,-36.479563593243824,2.635313629296956
n_articles,optimal_true,10,-16.633733391247578,-36.17983279812013,2.912366015624972
n_articles,optimal_true,11,-16.00535979055421,-34.806136884712615,2.795417303604193
n_articles,optimal_true,12,-18.600204700995526,-37.365784304406965,0.16537490241591257
slant,pooled,-6,-0.03820481285754154,-0.14630090484891561,0.06989127913383253
slant,pooled,-5,0.06189921989447514,-0.07654643880733211,0.2003448785962824
slant,pooled,-4,0.05724685932232313,-0.0670618883743504,0.18155560701899665
slant,pooled,3,-0.21841582254472766,-0.4185352735963126,-0.0182963714931427
slant,pooled,4,-0.2836639525709267,-0.4672142311163342,-0.10011367402551921
slant,pooled,5,-0.2852244492011073,-0.48506409586939336,-0.08538480253282119
slant,pooled,6,-0.16875252808765112,-0.342708474536508,0.005203418361205775
slant,post_1970,-6,-0.03181535974049002,-0.08851066131831618,0.024879941837336148
slant,post_1970,-5,-0.003816650822936816,-0.0627468120516286,0.05511351040575497
slant,post_1970,-4,-0.03054162448094684,-0.07406506206604016,0.012981813104146478
slant,post_1970,3,0.010653565379208604,-0.09159461349211463,0.11290174425053183
slant,post_1970,4,0.005575030816288168,-0.0724441905952331,0.08359425222780945
slant,post_1970,5,0.010068279276168457,-0.06984663617976755,0.08998319473210448
slant,post_1970,6,-0.016118719334942806,-0.10823552680156992,0.0759980881316843
slant,optimal_true,-6,-0.01938155371423934,-0.17944928678756916,0.1406861793590905
slant,optimal_true,-5,0.1827691785474994,-0.08351827180082017,0.449056628895819
slant,optimal_true,-4,0.0541163810489225,-0.14760314591531526,0.25583590801316025
slant,optimal_true,3,-0.19277012067403781,-0.4523221330725938,0.06678189172451815
slant,optimal_true,4,-0.29371234198131563,-0.5317546830724484,-0.05567000089018276
slant,optimal_true,5,-0.2917820710607788,-0.5565183737851727,-0.027045768336385
slant,optimal_true,6,-0.18118467296247667,-0.4238973496375403,0.06152800371258693
slant,illness_slow,-6,-0.10951198618376091,-0.18185603931343614,-0.03716793305408568
slant,illness_slow,-5,-0.04831672226174412,-0.14772411141015956,0.051090666886671326
slant,illness_slow,-4,-0.06790163710664834,-0.12613230620134758,-0.009670968011949124
slant,illness_slow,3,-0.567375071503192,-0.6494709466550682,-0.4852791963513158
slant,illness_slow,4,-0.5108215596550321,-0.6170374359419746,-0.40460568336808955
slant,illness_slow,5,-0.5134962326414,-0.6314504151113581,-0.3955420501714418
slant,illness_slow,6,-0.4740394091259553,-0.5714722496905812,-0.37660656856132946
